         2283393 function calls (2174341 primitive calls) in 1050.638 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1007    0.002    0.000    0.092    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/message.py:69(__deepcopy__)
     2619    0.011    0.000    0.090    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:2362(as_graph_element)
        1    0.081    0.081    0.081    0.081 {method 'getvalue' of '_io.BytesIO' objects}
     1309    0.019    0.000    0.080    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/util/nest.py:140(flatten_dict_items)
62126/47651    0.047    0.000    0.079    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:1317(Modified)
     2619    0.045    0.000    0.079    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:2394(_as_graph_element_locked)
     1310    0.020    0.000    0.065    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/platform/gfile.py:221(__init__)
3633/3631    0.048    0.000    0.064    0.000 /usr/lib/python2.7/contextlib.py:21(__exit__)
     1309    0.012    0.000    0.061    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/client/session.py:162(for_fetch)
    35716    0.045    0.000    0.059    0.000 {method 'sort' of 'list' objects}
     2618    0.028    0.000    0.058    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:315(name)
    42780    0.054    0.000    0.054    0.000 {method 'write' of '_io.BytesIO' objects}
      789    0.051    0.000    0.053    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/decoder.py:534(DecodeField)
     1309    0.009    0.000    0.053    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/util/nest.py:70(is_sequence)
     2241    0.003    0.000    0.053    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/message.py:106(CopyFrom)
    63341    0.044    0.000    0.052    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:775(_IsPresent)
      789    0.001    0.000    0.049    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/encoder.py:718(EncodeField)
     1310    0.019    0.000    0.048    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/tensor_shape.py:681(is_compatible_with)
     2147    0.011    0.000    0.047    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:1412(_recompute_node_def)
     1311    0.014    0.000    0.046    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/platform/gfile.py:51(__init__)
    23454    0.024    0.000    0.046    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/type_checkers.py:162(CheckValue)
     1309    0.008    0.000    0.045    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/client/session.py:198(__init__)
     1041    0.006    0.000    0.044    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:1318(_add_input)
    10964    0.013    0.000    0.041    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:660(field_setter)
    13270    0.023    0.000    0.041    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:1289(name)
   125055    0.039    0.000    0.039    0.000 {method 'items' of 'dict' objects}
    41263    0.029    0.000    0.039    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:651(getter)
    14990    0.018    0.000    0.038    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/encoder.py:246(FieldSize)
    29442    0.037    0.000    0.037    0.000 {method 'encode' of 'unicode' objects}
     2014    0.006    0.000    0.037    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/importer.py:67(_ArgsToTypes)
     8092    0.015    0.000    0.035    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/util/compat.py:27(as_bytes)
     8951    0.009    0.000    0.035    0.000 {setattr}
     1904    0.009    0.000    0.034    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/encoder.py:299(RepeatedFieldSize)
     1309    0.006    0.000    0.032    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/numpy/core/numeric.py:414(asarray)
    21503    0.018    0.000    0.032    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:606(getter)
     1311    0.032    0.000    0.032    0.000 {open}
    13856    0.022    0.000    0.031    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/decoder.py:117(DecodeVarint)
     1312    0.014    0.000    0.029    0.000 /home/khoa/tensorflow/lib/python2.7/abc.py:128(__instancecheck__)
      677    0.001    0.000    0.029    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/tensor_shape.py:623(with_rank)
      489    0.003    0.000    0.029    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/constant_op.py:171(_ConstantShape)
      845    0.007    0.000    0.028    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:1512(get_attr)
     2013    0.003    0.000    0.027    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/importer.py:60(_SingleArgToTypes)
     4598    0.016    0.000    0.027    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/tensor_shape.py:417(__init__)
     1321    0.027    0.000    0.027    0.000 {numpy.core.multiarray.array}
     1757    0.006    0.000    0.027    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/tensor_shape.py:542(merge_with)
   114976    0.025    0.000    0.025    0.000 {method 'get' of 'dict' objects}
       94    0.002    0.000    0.025    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/common_shapes.py:187(conv2d_shape)
    56416    0.025    0.000    0.025    0.000 {_weakref.proxy}
    58731    0.021    0.000    0.024    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:1381(Modified)
     1311    0.012    0.000    0.024    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:2551(as_default)
     1310    0.005    0.000    0.024    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/platform/gfile.py:73(__del__)
     3888    0.009    0.000    0.023    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/tensor_shape.py:796(as_shape)
     1007    0.002    0.000    0.023    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/importer.py:79(_OutputTypes)
     2013    0.006    0.000    0.023    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/importer.py:42(_ArgToTypesNoRef)
       94    0.002    0.000    0.022    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/ops/nn_ops.py:737(_BatchNormShape)
     1007    0.003    0.000    0.022    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/importer.py:74(_InputTypes)
114513/111539    0.021    0.000    0.022    0.000 {len}
     1309    0.016    0.000    0.022    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/client/session.py:400(build_results)
    13664    0.014    0.000    0.021    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/encoder.py:372(EncodeVarint)
3633/3631    0.008    0.000    0.021    0.000 /usr/lib/python2.7/contextlib.py:15(__enter__)
     5526    0.009    0.000    0.020    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:1406(Modified)
    20747    0.015    0.000    0.020    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:1332(_UpdateOneofState)
     1309    0.010    0.000    0.019    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/client/session.py:1020(_update_with_movers)
     1767    0.005    0.000    0.019    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/containers.py:368(add)
     1311    0.019    0.000    0.019    0.000 {method 'close' of 'file' objects}
     3633    0.016    0.000    0.019    0.000 /usr/lib/python2.7/contextlib.py:82(helper)
     7893    0.015    0.000    0.019    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:821(HasField)
    13078    0.012    0.000    0.018    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/decoder.py:169(ReadTag)
     4251    0.007    0.000    0.017    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/encoder.py:695(EncodeField)
     2624    0.009    0.000    0.017    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/errors.py:441(raise_exception_on_not_ok_status)
     1309    0.017    0.000    0.017    0.000 {method 'argsort' of 'numpy.ndarray' objects}
     4251    0.006    0.000    0.017    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/decoder.py:497(DecodeField)
    33356    0.013    0.000    0.017    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/six.py:654(indexbytes)
     5526    0.009    0.000    0.017    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:1397(__init__)
     1309    0.016    0.000    0.016    0.000 OCR_image.py:12(percentage)
     6032    0.015    0.000    0.016    0.000 {getattr}
     4886    0.006    0.000    0.016    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:421(MakeRepeatedScalarDefault)
     1309    0.012    0.000    0.016    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/client/session.py:837(_feed_fn)
     1312    0.006    0.000    0.016    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:3736(get_default_graph)
     2618    0.016    0.000    0.016    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:2036(version)
     2619    0.004    0.000    0.015    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:124(_as_graph_element)
    38916    0.015    0.000    0.015    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:1004(SetListener)
     4356    0.006    0.000    0.015    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:415(MakeRepeatedMessageDefault)
     2248    0.010    0.000    0.014    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/containers.py:261(extend)
    61330    0.014    0.000    0.014    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:792(<lambda>)
     2056    0.004    0.000    0.013    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/tensor_shape.py:110(merge_with)
    30333    0.013    0.000    0.013    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/containers.py:202(__getitem__)
     1007    0.011    0.000    0.013    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:93(_extract_stack)
     1007    0.007    0.000    0.013    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:2010(_add_op)
     1321    0.012    0.000    0.012    0.000 /home/khoa/tensorflow/lib/python2.7/_weakrefset.py:70(__contains__)
     1309    0.012    0.000    0.012    0.000 {_pywrap_tensorflow.TF_NewBuffer}
      518    0.003    0.000    0.012    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/decoder.py:480(DecodeRepeatedField)
     2624    0.010    0.000    0.011    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:3525(get_controller)
     1060    0.002    0.000    0.011    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:1274(WhichOneof)
     2007    0.005    0.000    0.010    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/importer.py:35(_GetNodeAttr)
     1036    0.005    0.000    0.010    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/encoder.py:238(RepeatedFieldSize)
     1140    0.005    0.000    0.010    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/importer.py:123(_CanonicalInputName)
     4886    0.007    0.000    0.010    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/containers.py:237(__init__)
     4479    0.005    0.000    0.010    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:894(Clear)
     1312    0.006    0.000    0.010    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:3701(get_default)
     1309    0.007    0.000    0.010    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:3416(is_feedable)
    25988    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
     4028    0.006    0.000    0.009    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/python_message.py:379(MakeMessageMapDefault)
     9076    0.005    0.000    0.009    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/encoder.py:148(FieldSize)
    44093    0.009    0.000    0.009    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/encoder.py:82(_VarintSize)
     4356    0.006    0.000    0.008    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/containers.py:350(__init__)
     2557    0.002    0.000    0.008    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/decoder.py:238(DecodeField)
     2305    0.003    0.000    0.008    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:436(_as_node_def_input)
     2316    0.006    0.000    0.008    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/six.py:598(iteritems)
     1309    0.002    0.000    0.008    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/ops/session_ops.py:249(_get_handle_mover)
     9679    0.004    0.000    0.008    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/tensor_shape.py:358(as_dimension)
     8056    0.006    0.000    0.008    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/containers.py:589(__iter__)
     2350    0.008    0.000    0.008    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:305(dtype)
     9981    0.006    0.000    0.007    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/google/protobuf/internal/containers.py:206(__len__)
     1007    0.004    0.000    0.007    0.000 /home/khoa/tensorflow/local/lib/python2.7/site-packages/tensorflow/python/framework/ops.py:278(__init__)
